name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
activation-1.0.2.jar,CDDL-1.0,-,-,-,Java,-,-,-
aopalliance-1.0.0.jar,Public Domain,-,-,-,Java,-,-,-
asm-3.3.1.jar,BSD-3-Clause,-,-,-,Java,-,-,-
cglib-2.2.2.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-collections4-4.1.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-httpclient-2.0.2.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-io-2.2.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-lang3-3.2.1.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-logging-1.1.1.jar,Apache-2.0,-,-,-,Java,-,-,-
csi-apachesoap-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,-,-,Java,-,-,-
csi-core-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,-,-,Java,-,-,-
csi-ejb-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,-,-,Java,-,-,-
csi-rmi-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,-,-,Java,-,-,-
csi-stadapter-1.4.6.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,-,-,Java,-,-,-
ejb-2.1.jar,Libreria Java di Base,-,-,-,Java,-,-,-
iridev2-pep-intf-2.0.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,-,-,Java,-,-,-
jaas-1.0.jar,Libreria Java di Base,-,-,-,Java,-,-,-
jackson-core-asl-1.9.9.redhat-4.jar,Apache-2.0,-,-,-,Java,-,-,-
jackson-mapper-asl-1.9.9.redhat-4.jar,Apache-2.0,-,-,-,Java,-,-,-
jaxp-1.1.jar,Libreria Java di Base,-,-,-,Java,-,-,-
jettison-1.3.1.jar,Apache-2.0,-,-,-,Java,-,-,-
jms-1.0.2b.jar,Libreria Java di Base,-,-,-,Java,-,-,-
jndi-1.2.1.jar,Libreria Java di Base,-,-,-,Java,-,-,-
jsr311-api-1.1.1.jar,CDDL-1.0,-,-,-,Java,-,-,-
log4j-1.2.14.jar,Apache-2.0,-,-,-,Java,-,-,-
mail-1.2.jar,Libreria Java di Base,-,-,-,Java,-,-,-
resteasy-jaxrs-2.3.10.Final-redhat-1.jar,Apache-2.0,-,-,-,Java,-,-,-
resteasy-multipart-provider-2.3.10.Final-redhat-1.jar,Apache-2.0,-,-,-,Java,-,-,-
servlet-2.4.jar,"CDDL, GPL-2.0",-,-,-,Java,-,-,-
servlet-api-2.5.jar,"CDDL-1.0, GPL-2.0",-,-,-,Java,-,-,-
soap-2.3.1.jar,Libreria Java di Base,-,-,-,Java,-,-,-
spring-core-3.1.1.RELEASE.jar,Apache-2.0,-,-,-,Java,-,-,-
swagger-annotations-1.5.18.jar,Apache-2.0,-,-,-,Java,-,-,-
swagger-jaxrs-1.5.18.jar,Apache-2.0,-,-,-,Java,-,-,-
util-perf-1.0.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI Piemonte,-,-,Java,-,-,-
validation-api-1.0.0.GA-redhat-3.jar,Apache-2.0,-,-,-,Java,-,-,-
xerces-1.4.4.jar,Apache-2.0,-,-,-,Java,-,-,-
start
